12 2 0 16 33 -1
4 1 1 1 1 4 4 15 2 9 2 1
20 12 1 1 1 6 5 21 1 1 1 2
20 10 1 2 1 3 4 17 2 11 2 4
10 16 1 1 1 2 2 7 2 9 2 1
6 4 1 1 1 1 2 1 2 9 4 2
8 16 2 2 1 7 5 21 1 12 2 4
18 8 1 1 1 6 5 19 1 13 4 4
8 16 1 1 1 2 2 11 2 9 1 4
16 6 2 1 1 4 3 13 1 7 1 2
10 6 2 2 1 1 2 7 1 5 1 4
12 14 2 2 1 3 2 3 1 1 1 1
14 6 2 1 1 1 2 9 1 9 2 2
6 2 1 2 1 2 2 9 1 1 1 1
4 2 2 2 1 2 2 5 1 7 2 2
2 2 1 1 1 1 2 1 1 1 1 1
2 2 1 2 1 2 1 5 2 3 1 2
19 15 1 1 1 5 5 22 2 14 3 1
17 9 3 1 1 5 5 20 2 10 1 1
15 9 3 1 2 5 5 18 2 14 3 1
3 3 1 1 1 4 3 16 2 1 1 1
17 15 3 1 1 7 5 22 2 14 3 1
11 13 3 1 2 5 5 20 2 12 1 2
3 3 1 1 1 2 2 6 1 8 3 1
13 7 1 1 2 7 5 20 2 14 4 4
7 7 1 1 1 2 3 6 2 12 3 2
9 7 3 1 1 4 3 10 2 12 3 3
5 7 1 3 1 5 3 14 2 12 3 2
15 7 1 2 2 5 3 18 2 14 4 3
3 7 1 1 1 2 1 6 1 6 3 1
15 11 1 1 1 2 3 8 2 1 1 1
1 5 1 1 1 4 3 4 2 1 1 1
19 1 1 1 1 2 3 12 2 4 1 1
1 1 1 2 1 1 1 2 1 2 1 1
